"StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","RelevantID_First Click","RelevantID_Last Click","RelevantID_Page Submit","RelevantID_Click Count","Q1_consent","MetaDataQ_Browser","MetaDataQ_Version","MetaDataQ_Operating System","MetaDataQ_Resolution","Q2_lang-DE","Q3_lang_EN","Q4_gender","Q5_age","Q6_residence","Q7_household-size","Q8_household-income","Q9_drivers-license","Q11_car-purch-intent","Q12_EV-experience","Q12_EV-experience_8_TEXT","Q13_car-ownership","Q14_EV-use","Q14_EV-use_8_TEXT","Q15_mobility-usage","Q15_mobility-usage_9_TEXT","Q16_PT-subscr","Q16_PT-subscr_7_TEXT","Q18_PT-spend","Q19_PT-spend-t","Q21_car-spend","Q22_car-spend-t","Q24_EV-range-commute","Q25_EV-range-all","Q27_mob-subscr-inter","Q28_mob-subscr-WTP","Q30_mob-subscr1-PI","Q32_mob-subscr2-PI","Q34_mob-subscr3-PI","Q36_mob-subscr4-PI","Q38_mob-subscr5-PI","Q39_mob-subscr-rank_1","Q39_mob-subscr-rank_2","Q39_mob-subscr-rank_3","Q39_mob-subscr-rank_4","Q39_mob-subscr-rank_5","Q39_mob-subscr-rank_0","Q40_EV-adv","Q40_EV-adv_8_TEXT","Q41_EV-disadv","Q41_EV-disadv_9_TEXT","Q42_end-of-survey","opp","rid","V","gid","sname","enc","isNew","Q_TotalDuration","test","version","test2","gc","term","Q42_end-of-survey - Topics","Q12_EV-experience_12_TEXT - Topics","Q14_EV-use_13_TEXT - Topics","Q41_EV-disadv_18_TEXT - Topics","Q40_EV-adv_12_TEXT - Topics","EV adv. others - Topics","Q16_PT-subscr_10_TEXT - Topics","Q13_12_TEXT - Topics"
"2019-05-21 18:27:07","2019-05-21 18:32:35","0","100","328","1","2019-05-21 18:32:35","R_1LOKZOum6802kxq",NA,NA,NA,NA,"47.4156036376953125","8.1345062255859375","anonymous","DE","0","0","4.183","0","1",NA,NA,NA,NA,"1",NA,NA,"47","18","1","4","1","1","0","-99","1","0","-99","1,4","-99","0","-99","1","1",NA,"2","7","9","-1","3","-1","1","3","1","1","2","4","3","5","6","1","1,4,5","-99","1,2,3","-99","-99","Qual2380-2904Switz","5ce426d4-59b5-b105-60b6-7fe24f0453fe","H",NA,NA,"$e[ ( e://Field/gid % 1019 ) * 47 ]","True","328",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-21 18:36:31","2019-05-21 18:38:51","0","100","139","1","2019-05-21 18:38:51","R_2DN8txinq33wrXg",NA,NA,NA,NA,"46.802398681640625","7.15130615234375","anonymous","DE","0","0","1.098","0","1",NA,NA,NA,NA,"1",NA,NA,"27","8","1","3","1","1","1,5,7","-99","1","5","-99","1","-99","4","-99","2","1",NA,"2","7","2","4","3","4","3","3","3","3","1","4","3","2","5","6","6","-99","1,2","-99","Cool","Qual2380-2904Switz","5ce4290a-cd01-0568-6015-8112c98234a3","H",NA,NA,"$e[ ( e://Field/gid % 1019 ) * 47 ]","True","139",NA,NA,NA,"1",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"2019-05-21 18:33:16","2019-05-21 18:39:52","0","100","395","1","2019-05-21 18:39:53","R_1HrGEzWGqp7IIhz",NA,NA,NA,NA,"47.36639404296875","8.554595947265625","anonymous","DE","0","0","1.588","0","1",NA,NA,NA,NA,"0",NA,NA,"33","26","1","4","1","1","1,2","-99","1","8","Benzin","1,2,3,4,7","-99","1,4","-99","3","2",NA,"2","3","10","4","4","2","2","2","1","1","4","5","1","3","6","2","1,6,7","-99","1,3,4","-99","-99","Qual2380-2904Switz","5ce42845-43b0-c881-92b6-5e297cbbef18","H",NA,NA,"$e[ ( e://Field/gid % 1019 ) * 47 ]","True","395",NA,NA,NA,"1",NA,NA,NA,"Unknown",NA,NA,NA,NA,NA
"2019-05-21 18:24:28","2019-05-21 18:40:20","0","100","952","1","2019-05-21 18:40:21","R_08mcMua8WY0nMhX",NA,NA,NA,NA,"47.3690948486328125","8.0016937255859375","anonymous","DE","0","0","7.53","0","1",NA,NA,NA,NA,"1",NA,NA,"53","1","5","4","1","1","0","-99","1","0","-99","0","-99","6","-99","4","2",NA,"2","1","1","4","4","3","3","3","3","3","3","1","2","4","5","6","3","-99","3","-99","-99","Qual2380-2904Switz","5ce42636-e48f-2f18-aaa1-2c83b4ea9e35","H",NA,NA,"$e[ ( e://Field/gid % 1019 ) * 47 ]","True","952",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-21 18:44:51","2019-05-21 18:48:25","0","100","214","1","2019-05-21 18:48:25","R_2BbAoq2G1OGIsZf",NA,NA,NA,NA,"47.1371002197265625","7.24609375","anonymous","DE","0","0","3.326","0","1",NA,NA,NA,NA,"1",NA,NA,"45","6","3","7","1","1","1,3","-99","1","6","-99","1,2,3","-99","1","-99","5","1",NA,"1","9","9","3","2","3","3","5","3","3","4","5","1","3","2","6","1,2,4","-99","1,2,6","-99","-99","Qual2380-2904Switz","5ce42afd-d96d-ad26-cae9-b4145bbe67e5","H",NA,NA,"$e[ ( e://Field/gid % 1019 ) * 47 ]","True","214",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-21 18:43:59","2019-05-21 18:50:49","0","100","410","1","2019-05-21 18:50:50","R_2ATGwk1LeZF3MGA",NA,NA,NA,NA,"47.1824951171875","9.444000244140625","anonymous","DE","0","0","9.618","0","1",NA,NA,NA,NA,"1",NA,NA,"50","19","5","5","1","1","3,6","-99","3","6","-99","1,2,4,7,8","-99","7","ost ch","2","2",NA,"2","3","8","4","4","3","3","4","4","4","2","5","1","3","4","6","3,6,7","-99","2,4,6","-99","-99","Qual2380-2904Switz","5ce42aca-b32f-4cad-d36d-1f0d3cdbdaf9","H",NA,NA,"$e[ ( e://Field/gid % 1019 ) * 47 ]","True","410",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"Unknown",NA
"2019-05-21 18:49:40","2019-05-21 18:52:21","0","100","160","1","2019-05-21 18:52:21","R_3PsOxGBKbX9bQoZ",NA,NA,NA,NA,"47.36639404296875","8.554595947265625","anonymous","DE","0","0","2.338","0","1",NA,NA,NA,NA,"0",NA,NA,"27","25","6","1","1","1","4","-99","3","4","-99","1,7","-99","2,-1","-99","3","1",NA,"1","4","10","5","4","1","2","3","5","5","4","5","3","1","2","6","2","-99","2","-99","Ich fsnde diese Studie sehr Interessant","Qual2380-2904Switz","5ce42c1b-0076-b5d1-4c31-4d46f53cb92f","H",NA,NA,"$e[ ( e://Field/gid % 1019 ) * 47 ]","True","160",NA,NA,NA,"1",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"2019-05-21 19:08:03","2019-05-21 19:21:21","0","100","798","1","2019-05-21 19:21:22","R_2X1JZLA1vK8E2lY",NA,NA,NA,NA,"46.94580078125","7.4481048583984375","anonymous","DE","0","0","4.093","0","1",NA,NA,NA,NA,"1",NA,NA,"41","6","3","-2","1","1","0","-99","2","0","-99","2,4,7,8","-99","1","-99","3","2",NA,"2","1","6","5","2","2","1","3","2","2","1","5","4","2","3","6","2,3,5","-99","6,7","-99","alles Bestens, Danke","Qual2380-2904Switz","5ce4306e-b3d9-76a6-fc36-824a49d4d6bb","H",NA,NA,"$e[ ( e://Field/gid % 1019 ) * 47 ]","True","798",NA,NA,NA,"1",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"2019-05-21 19:33:29","2019-05-21 19:37:51","0","100","261","1","2019-05-21 19:37:52","R_x2TsrlHqnIbpiAV",NA,NA,NA,NA,"47.3285064697265625","8.2050933837890625","anonymous","DE","0","0","4.352","0","1",NA,NA,NA,NA,"0",NA,NA,"53","1","2","1","1","1","4,7","-99","1","3,5","-99","2","-99","1","-99","1","1",NA,"1","1","1","3","1","5","5","5","5","5","1","2","3","4","5","6","1,2","-99","1,2","-99","Alles gut und sehr schnell zu beatworten","Qual2380-2904Switz","5ce43659-37fb-9c50-ce31-77fd46c5c9c3","H",NA,NA,"$e[ ( e://Field/gid % 1019 ) * 47 ]","True","261",NA,NA,NA,"1",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"2019-05-21 19:26:00","2019-05-21 19:38:07","0","100","726","1","2019-05-21 19:38:07","R_2drIdu51A4SLCIb",NA,NA,NA,NA,"47.3180999755859375","8.5839996337890625","anonymous","DE","0","0","1.988","0","1",NA,NA,NA,NA,"0",NA,NA,"41","20","1","3","1","1","-1","-99","1","0","-99","2,4","-99","0","-99","1","1",NA,"1","-1","-1","-1","1","-1","2","2","2","2","1","2","3","4","5","6","7","-99","1","-99","-99","Qual2380-2904Switz","5ce434a2-dffb-837c-f083-a741331f561d","H",NA,NA,"$e[ ( e://Field/gid % 1019 ) * 47 ]","True","726",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
