"Remark ID","Q12 EV experience remarks","Q14 EV use remarks","Q15 mobility usage remarks","Q16 PT subscription remarks","Q40 EV advantages remarks","Q41 EV disadvantages remarks","Q42 End of survey remarks"
265,NA,NA,NA,NA,NA,NA,NA
266,NA,NA,NA,NA,NA,NA,NA
267,NA,NA,NA,NA,NA,NA,NA
268,NA,NA,NA,NA,NA,NA,NA
269,NA,NA,NA,NA,NA,NA,NA
270,NA,NA,NA,NA,NA,NA,NA
271,NA,NA,NA,NA,NA,NA,NA
272,NA,NA,NA,NA,NA,NA,NA
273,NA,NA,NA,NA,NA,NA,NA
274,NA,NA,NA,NA,NA,NA,NA
275,NA,NA,NA,NA,NA,NA,NA
276,NA,NA,NA,NA,NA,NA,NA
277,NA,NA,NA,NA,NA,NA,NA
278,NA,NA,NA,NA,NA,NA,NA
279,NA,NA,NA,NA,NA,NA,NA
280,NA,NA,NA,NA,NA,NA,NA
281,NA,NA,NA,NA,NA,NA,NA
282,NA,NA,NA,NA,NA,NA,NA
283,NA,NA,NA,NA,NA,NA,NA
284,NA,NA,NA,NA,NA,NA,NA
285,NA,NA,NA,NA,NA,NA,NA
286,NA,NA,NA,NA,NA,NA,NA
287,NA,NA,NA,NA,NA,NA,NA
288,NA,NA,NA,NA,NA,NA,NA
289,NA,NA,NA,NA,NA,NA,NA
290,NA,NA,NA,NA,NA,NA,NA
291,NA,NA,NA,NA,NA,NA,NA
292,NA,NA,NA,NA,NA,NA,NA
293,NA,NA,NA,NA,NA,NA,NA
294,NA,NA,NA,NA,NA,NA,NA
295,NA,NA,NA,NA,NA,NA,NA
296,NA,NA,NA,NA,NA,NA,NA
297,NA,NA,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA,NA,NA
299,NA,NA,NA,NA,NA,NA,NA
300,NA,NA,NA,NA,NA,NA,NA
301,NA,NA,NA,NA,NA,NA,NA
302,NA,NA,NA,NA,NA,NA,NA
303,NA,NA,NA,NA,NA,NA,NA
304,NA,NA,NA,NA,NA,NA,NA
305,NA,NA,NA,NA,NA,NA,NA
306,NA,NA,NA,NA,NA,NA,NA
307,NA,NA,NA,NA,NA,NA,NA
308,NA,NA,NA,NA,NA,NA,NA
309,NA,NA,NA,NA,NA,NA,NA
310,NA,NA,NA,NA,NA,NA,NA
311,NA,NA,NA,NA,NA,NA,NA
312,NA,NA,NA,NA,NA,NA,NA
313,NA,NA,NA,NA,NA,NA,NA
314,NA,NA,NA,NA,NA,NA,NA
315,NA,NA,NA,NA,NA,NA,NA
316,NA,NA,NA,NA,NA,NA,NA
317,NA,NA,NA,NA,NA,NA,NA
318,NA,NA,NA,NA,NA,NA,NA
319,NA,NA,NA,NA,NA,NA,NA
320,NA,NA,NA,NA,NA,NA,NA
321,NA,NA,NA,NA,NA,NA,NA
322,NA,NA,NA,NA,NA,NA,NA
323,NA,NA,NA,NA,NA,NA,NA
324,NA,NA,NA,NA,NA,NA,NA
325,NA,NA,NA,NA,NA,NA,NA
326,NA,NA,NA,NA,NA,NA,NA
327,NA,NA,NA,NA,NA,NA,NA
328,NA,NA,NA,NA,NA,NA,NA
329,NA,NA,NA,NA,NA,NA,NA
330,NA,NA,NA,NA,NA,NA,NA
331,NA,NA,NA,NA,NA,NA,NA
332,NA,NA,NA,NA,NA,NA,NA
333,NA,NA,NA,NA,NA,NA,NA
334,NA,NA,NA,NA,NA,NA,NA
335,NA,NA,NA,NA,NA,NA,NA
336,NA,NA,NA,NA,NA,NA,NA
337,NA,NA,NA,NA,NA,NA,NA
338,NA,NA,NA,NA,NA,NA,NA
339,NA,NA,NA,NA,NA,NA,NA
340,NA,NA,NA,NA,NA,NA,NA
341,NA,NA,NA,NA,NA,NA,NA
342,NA,NA,NA,NA,NA,NA,NA
343,NA,NA,NA,NA,NA,NA,NA
